proof	time_s	status
proof_v16_mark_asset_drain_only_is_value_neutral_and_epoch_scoped	144	PASS
proof_v16_mul_div_ceil_u256_is_floor_plus_remainder_indicator	66	PASS
proof_v16_mul_div_floor_u256_matches_small_reference	22	PASS
proof_v16_negative_pnl_settlement_consumes_principal_before_residual	53	PASS
proof_v16_new_unfunded_domain_cannot_consume_shared_insurance	28	PASS
proof_v16_nonflat_withdraw_rejects_before_value_exit	101	PASS
proof_v16_nontrivial_public_profile_satisfies_symbolic_mm_envelope	17	PASS
proof_v16_open_source_claim_exposure_blocks_convert	179	PASS
proof_v16_pending_domain_loss_barrier_detects_touching_position_changes	20	PASS
proof_v16_permissionless_recovery_crank_is_accounting_neutral	79	PASS
proof_v16_positive_kf_delta_creates_source_claim_bound	119	PASS
proof_v16_positive_pnl_requires_full_source_claim_attribution	2	PASS
proof_v16_price_move_cap_rejects_before_accrual_mutation	51	PASS
proof_v16_public_backing_provider_earnings_withdraw_debits_only_earned_vault	171	PASS
proof_v16_public_counterparty_lien_consume_creates_receivable_without_value_movement	385	PASS
proof_v16_public_counterparty_lien_release_restores_unliened_backing_without_value_movement	351	PASS
proof_v16_public_explicit_fee_charge_moves_current_capital_to_insurance_only	207	PASS
proof_v16_public_insurance_lien_consume_spends_only_its_domain_budget	316	PASS
proof_v16_public_insurance_lien_create_moves_reserved_credit_to_valid_lien	199	PASS
proof_v16_public_insurance_reserve_encumbers_budget_without_value_movement	370	PASS
proof_v16_public_insurance_reserve_rejects_unfunded_domain	116	PASS
proof_v16_public_market_activation_starts_domains_unfunded_and_value_neutral	65	PASS
proof_v16_public_market_capacity_growth_is_monotone_and_value_neutral	8	PASS
proof_v16_public_permissionless_empty_market_crank_advances_clock_without_value_movement	275	PASS
proof_v16_public_resolve_market_is_value_neutral_and_clears_loss_stale	100	PASS
proof_v16_public_resolved_close_flat_account_pays_only_capital_and_vault	555	PASS
proof_v16_public_resolved_payout_topup_pays_min_claimable_and_vault	385	PASS
proof_v16_recovery_mode_blocks_fee_sync_and_pnl_conversion_before_mutation	141	PASS
proof_v16_recovery_mode_blocks_withdraw	33	PASS
proof_v16_reserved_domain_insurance_cannot_be_double_spent_by_bankruptcy	35	PASS
proof_v16_resolved_receipt_payment_cannot_exceed_terminal_claim	2	PASS
proof_v16_resolved_residual_booking_without_loss_bearing_side_is_explicit_only	61	PASS
proof_v16_retire_empty_asset_is_value_neutral_and_epoch_scoped	246	PASS
proof_v16_retire_nonempty_asset_rejects	132	PASS
proof_v16_reused_asset_slot_rejects_stale_market_id_leg	58	PASS
proof_v16_scaled_adl_delta_fast_matches_aligned_reference_and_fails_closed	5	PASS
proof_v16_source_credit_lien_face_and_backing_use_scaled_units	16	PASS
proof_v16_source_credit_rate_never_exceeds_available_backing_ratio	14	PASS
proof_v16_symbolic_conservative_fee_profile_satisfies_mm_envelope_on_small_notionals	12	PASS
proof_v16_symbolic_funding_profile_satisfies_mm_envelope_on_small_notionals	15	PASS
proof_v16_trade_fee_helper_does_not_charge_negative_pnl_account	18	PASS
proof_v16_trade_fee_helper_moves_capital_to_insurance_only	27	PASS
proof_v16_two_resolved_receipts_are_order_independent_when_snapshot_funded	42	PASS
proof_v16_underbacked_source_credit_cannot_satisfy_im_lien_requirements	16	PASS
proof_v16_unliened_source_support_is_capped_by_realizable_backing	188	PASS
proof_v16_validate_shape_rejects_global_junior_bound_below_domain_claims	54	PASS
proof_v16_view_deposit_preserves_c_tot_vault_capital_sum	208	PASS
proof_v16_view_domain_budget_caps_bankruptcy_insurance_spend	31	PASS
proof_v16_view_fee_sync_settles_negative_pnl_before_fee	173	PASS
proof_v16_view_initial_margin_source_lien_creation_is_backed	3	PASS
proof_v16_view_negative_funding_pays_long_side	43	PASS
proof_v16_view_overwithdraw_rejects	243	PASS
proof_v16_view_positive_funding_charges_long_side	46	PASS
proof_v16_view_trade_position_delta_preserves_oi_symmetry	2	PASS
proof_v16_view_withdraw_reduces_vault_ctot_and_capital_equally	403	PASS
proof_v16_wide_signed_mul_div_floor_matches_small_reference	60	PASS
proof_v16_withdraw_settles_flat_negative_pnl_before_value_exit	193	PASS
